Crop,Year,CAR,Region I,Region II,Region III,Region IV-A,MIMAROPA,Region V,Region VI,Region VII,Region VIII,Region IX,Region X,Region XI,Region XII,Region XIII,ARMM
Palay,2014,118476,412419,591660,717191,116568,280920,329573,618727,104288,283020,163096,161414,103822,346906,174170,217422
Palay,2015,111482,412936,584119,699646,113066,283586,342307,622315,102427,268315,163636,163755,99220,339938,155130,194349
Palay,2016,110640,412635,556884,704185,116768,287842,354089,572755,80153,268110,155291,160209,97789,315690,150076,212927
Palay,2017,115555,411818,587097,720930,116348,302447,363823,654803,100830,272889,172388,164177,101131,351177,155203,221192
Palay,2018,111387,405981,562018,727704,108650,306790,357654,668861,97619,269786,177540,164769,106550,348480,160282,226335
Irrigated_palay,2014,93301,285823,511873,639952,86191,189480,214082,296174,59221,129728,94564,140441,89243,266223,100072,56711
Irrigated_palay,2015,86521,285940,511196,622813,85094,195510,229301,304733,59058,126500,94551,142750,87977,263726,90392,47124
Irrigated_palay,2016,88006,285672,496531,637343,85333,201026,236205,272262,51757,125261,90697,141679,87063,249165,92876,40226
Irrigated_palay,2017,92205,285563,513601,651832,83337,207884,242155,298831,61516,125381,100378,142920,87350,276980,89643,35510
Irrigated_palay,2018,90420,281511,490883,663020,80651,212672,237232,299736,61330,123466,99123,143483,92322,273610,96722,39972
Rainfed_Palay,2014,25175,126596,79786,77239,30377,91440,115491,322553,45067,153292,68532,20973,14579,80683,74098,160711
Rainfed_Palay,2015,24961,126996,72923,76833,27972,88076,113006,317582,43369,141815,69085,21005,11243,76212,64738,147225
Rainfed_Palay,2016,22634,126963,60353,66842,31435,86816,117884,300493,28396,142849,64594,18530,10726,66525,57200,172701
Rainfed_Palay,2017,23350,126255,73496,69098,33011,94563,121668,355972,39314,147508,72010,21257,13781,74197,65560,185682
Rainfed_Palay,2018,20967,124470,71135,64684,27999,94118,120422,369125,36289,146320,78417,21286,14228,74870,63560,186363
Corn,2014,64832,87763,437729,43535,34518,29135,113596,124312,193089,60752,130116,374646,169306,428556,41957,277590
Corn,2015,64411,87608,425965,47368,29185,31391,103025,120157,187296,61409,131590,377040,154398,416400,42396,282295
Corn,2016,61045,89769,414449,47382,35084,30510,107544,107255,174267,57087,145555,370806,154584,383266,44705,261157
Corn,2017,61391,94870,414792,45875,34803,30060,114616,109849,163767,53672,141061,374515,165636,413649,34034,300002
Corn,2018,58405,95087,385660,47597,32662,31521,111900,107998,148192,53284,142305,370541,172924,406165,36699,310497
White_Corn,2014,"8,368",15135,20302,11149,18408,7697,52378,51059,192422,53497,121492,201839,146983,130093,28482,230909
White_Corn,2015,"8,125",14218,18215,11465,15956,7393,52708,49806,186858,54161,121659,201588,136782,121494,29562,235504
White_Corn,2016,"7,497",13389,16426,11237,17744,7479,50371,8487,173691,50026,135856,204734,136381,112497,28998,159245
White_Corn,2017,"7,198",13159,11546,11681,17632,7357,55715,50215,163086,48594,129975,200347,144918,118732,19063,174916
White_Corn,2018,"6,696",12461,12095,12300,15717,6675,54499,48685,147309,49044,129733,195479,148770,116702,20125,177455
Yellow_Corn,2014,"56,464",72628,417427,32386,16110,21438,61218,73253,667,7255,8624,172807,22323,298463,13475,46681
Yellow_Corn,2015,"56,286",73390,407750,35903,13229,23998,50317,70351,438,7248,9931,175452,17616,294906,12834,46791
Yellow_Corn,2016,"53,548",76380,398023,36145,17340,23031,57173,58788,576,7061,9699,166072,18203,270769,15707,101912
Yellow_Corn,2017,"54,193",81711,403247,34194,17171,22703,58901,59634,681,5078,11086,174168,20718,294917,14971,125086
Yellow_Corn,2018,"51,709",82626,373566,35297,16945,24846,57401,59313,883,4240,12572,175062,24154,289463,16574,133042
Banana,2014,26254,43880,376366,58783,104304,155263,74511,270330,194069,216991,274127,1781045,3368176,1203369,243792,493598
Banana,2015,26576,43164,384134,58439,96307,168299,76452,285578,198838,227223,281856,1832173,3455014,1159091,259738,531048
Banana,2016,25585,41506,354400,49654,111736,97994,76841,284697,193903,226603,260790,1864422,3479473,1024389,278015,533677
Banana,2017,21104,42353,307606,49811,114130,93175,73343,291136,205675,232502,262521,1930062,3512942,1167203,293056,569716
