Crop,Year,CAR,Region I,Region II,Region III,Region IV-A,MIMAROPA,Region V,Region VI,Region VII,Region VIII,Region IX,Region X,Region XI,Region XII,Region XIII,ARMM
Palay,2014,3.8203,4.3553,4.2506,5.2499,3.4794,3.8512,3.8175,3.3174,3.2489,3.4718,4.0269,4.4219,4.3562,3.9343,3.2985,2.5625
Palay,2015,3.5962,4.3036,4.2622,4.7228,3.475,3.8148,3.6939,3.3051,3.2823,3.5619,4.0442,4.4281,4.4534,3.7996,3.1026,2.5121
Palay,2016,3.4603,4.3746,4.1888,4.7472,3.4866,3.7535,3.6022,3.3107,2.8942,3.5614,3.7421,4.4397,4.274,3.8032,3.0797,2.5571
Palay,2017,3.851,4.5458,4.5256,5.0418,3.5311,3.8348,3.6696,3.4069,3.2253,3.465,4.064,4.5423,4.2882,3.7574,3.11,2.613
Palay,2018,3.5112,4.2368,4.2343,4.9678,3.8678,4.0125,3.7758,3.3375,3.1701,3.5097,4.1043,4.621,4.581,3.8542,3.1823,2.8206
Irrigated_palay,2014,4.1771,4.5674,4.5134,5.3489,3.8611,4.113,4.1175,3.6639,3.6316,4.2461,4.4848,4.5792,4.5583,4.19,3.557,3.2987
Irrigated_palay,2015,3.9973,4.5134,4.5055,4.9128,3.7941,4.0488,4.0253,3.6536,3.6772,4.345,4.493,4.5921,4.6495,4.0551,3.4166,3.2518
Irrigated_palay,2016,3.8008,4.5689,4.394,4.8872,3.831,3.9375,3.8903,3.6504,3.2078,4.3324,4.2094,4.5716,4.4281,4.026,3.3497,3.3412
Irrigated_palay,2017,4.2249,4.7632,4.7294,5.1283,3.8933,4.0671,3.9467,3.728,3.527,4.251,4.5183,4.7025,4.502,3.9771,3.4178,3.358
Irrigated_palay,2018,3.8629,4.4589,4.3996,5.0469,4.1765,4.2086,4.0954,3.6786,3.4195,4.3148,4.4994,4.7771,4.7994,4.1008,3.4576,3.9563
Rainfed_Palay,2014,2.4976,3.8766,2.5648,4.4291,2.3961,3.3086,3.2615,2.9993,2.746,2.8166,3.3952,3.3686,3.1191,3.0907,2.9494,2.3028
Rainfed_Palay,2015,2.206,3.8312,2.5571,3.1826,2.5043,3.2956,3.0214,2.9707,2.7445,2.8634,3.4299,3.3132,2.9187,2.9155,2.6642,2.2753
Rainfed_Palay,2016,2.1363,3.9376,2.5005,3.4117,2.5517,3.3273,3.0249,3.0029,2.3228,2.8853,3.086,3.4311,3.0226,2.9687,2.6412,2.3745
Rainfed_Palay,2017,2.3746,4.0541,3.1015,4.2261,2.6165,3.3242,3.1181,3.1373,2.7533,2.7969,3.4308,3.4648,2.9327,2.9372,2.689,2.4706
Rainfed_Palay,2018,1.9946,3.7343,3.0936,4.1579,2.9786,3.5694,3.1463,3.0604,2.7485,2.8304,3.6048,3.5687,3.1639,2.9533,2.7634,2.577
Corn,2014,3.7725,5.4321,4.2417,5.5328,2.1533,3.6974,2.5146,2.9635,0.8504,1.4512,1.7165,3.1938,1.6555,3.1223,2.9889,2.5202
Corn,2015,3.6923,5.6039,4.2285,5.7279,2.2211,3.9977,2.3675,2.9161,0.8011,1.4842,1.6732,3.2259,1.4514,2.9762,2.8015,2.3842
Corn,2016,3.2657,5.6592,4.0507,5.4777,2.7597,3.7563,2.4118,2.6448,0.8994,1.4294,1.7791,3.2985,1.4173,2.9849,3.2329,2.2614
Corn,2017,3.9558,5.8655,4.4299,5.6402,2.6653,4.0285,2.5041,2.7427,0.8944,1.3691,1.6621,3.4373,1.55,3.0392,3.5253,2.8054
Corn,2018,3.5517,5.8987,4.2144,5.7135,2.7989,4.1289,2.4998,2.8782,0.8611,1.3925,1.8194,3.4801,1.5884,3.031,3.6957,2.9068
White_Corn,2014,2.4713,3.3759,2.2899,2.6415,1.6806,2.1236,1.0966,1.971,0.8427,1.3979,1.5887,1.9849,1.4472,2.0383,2.0043,2.3542
White_Corn,2015,2.4457,3.3902,2.4071,2.7923,1.592,2.2193,1.0524,1.9176,0.7956,1.4354,1.5236,2.0203,1.2664,1.9251,1.897,2.1899
White_Corn,2016,2.4,3.4298,2.3177,2.778,1.7396,2.3114,1.1452,9.5288,0.8902,1.3786,1.602,2.2629,1.251,1.9365,2.2853,2.1561
White_Corn,2017,2.4851,3.6262,2.9559,3.1836,1.7013,2.3919,1.1659,1.7678,0.8803,1.328,1.4789,2.354,1.3632,1.9457,2.4656,2.3923
White_Corn,2018,2.49,3.8488,2.8866,3.3367,1.6964,2.3145,1.1932,1.802,0.8455,1.3567,1.629,2.3501,1.3608,1.9594,2.6363,2.614
Yellow_Corn,2014,3.9653,5.8606,4.3366,6.5281,2.6935,4.2624,3.7278,3.6554,3.057,1.8441,3.5163,4.6058,3.0271,3.5947,5.0701,3.3417
Yellow_Corn,2015,3.8722,6.0327,4.3099,6.6653,2.9799,4.5456,3.745,3.623,3.1484,1.8493,3.5063,4.6112,2.8879,3.4092,4.8851,3.362
Yellow_Corn,2016,3.3869,6.0501,4.1222,6.3171,3.8036,4.2255,3.5277,3.4497,3.6719,1.7897,4.2585,4.5753,2.6633,3.4205,4.9824,2.426
Yellow_Corn,2017,4.1511,6.2262,4.4721,6.4794,3.6552,4.5589,3.7698,3.5637,4.2658,1.7617,3.8092,4.6834,2.8568,3.4795,4.8747,3.383
Yellow_Corn,2018,3.6892,6.2078,4.2574,6.5417,3.8215,4.6163,3.7405,3.7616,3.4507,1.8061,3.7846,4.742,2.9901,3.463,4.982,3.2975
Banana,2014,0.3395,0.4978,0.7286,0.4945,0.6577,0.6246,0.5188,0.5905,0.6362,0.6709,0.5364,0.1698,0.1552,0.3068,0.4098,0.3225
Banana,2015,0.3467,0.4986,0.7391,0.4841,0.6503,0.6295,0.5187,0.5973,0.6355,0.6757,0.5434,0.1663,0.1545,0.3199,0.3771,0.3107
Banana,2016,0.3457,0.497,0.7298,0.4572,0.6624,0.6289,0.5219,0.5986,0.6469,0.6799,0.5307,0.1623,0.1527,0.2889,0.3782,0.3079
Banana,2017,0.3581,0.5003,0.7465,0.4474,0.666,0.6264,0.5248,0.5985,0.6496,0.6827,0.5288,0.1575,0.1533,0.2839,0.3775,0.3095
Banana,2018,0.3628,0.5044,0.7424,0.4542,0.662,0.6256,0.5244,0.5972,0.6516,0.6867,0.5222,0.1576,0.1535,0.2782,0.4064,0.3075
Calamansi,2014,6.0959,3.3226,5.4106,8.6219,7.481,12.7299,1.9483,5.9893,4.5789,7.2486,9.8698,3.0831,4.6291,7.579,3.1399,10.1959
Calamansi,2015,5.9333,3.345,5.7066,8.612,7.8544,12.7885,2.0633,5.8752,4.6813,8.4915,9.7039,3.1188,4.693,7.3406,3.528,11.7635
Calamansi,2016,5.9589,3.3566,5.4369,8.1563,7.8496,6.4397,2.3277,5.493,4.759,9.4607,9.7585,3.35,4.7706,5.2069,3.9766,11.7027
Calamansi,2017,5.9595,3.4059,5.3436,8.2757,7.8776,6.0559,2.3035,5.469,4.5647,9.5879,10.598,3.45,4.6966,5.6615,3.6773,13.6419
Calamansi,2018,6.169,3.2992,4.3128,7.984,8.0996,5.9622,2.3785,5.5467,4.5137,9.3636,9.6104,3.4939,4.714,5.515,3.544,13.9662
Durian,2014,0,0,9.3333,1,1.1081,0.4444,0,0.8785,0.3182,0.2188,0.8557,1.5056,7.6194,2.2976,1.1272,5.2875
Durian,2015,0,2,8.25,0.75,1.1081,0.3778,0,0.8421,0.4167,0.25,1.3804,1.6027,8.1269,2.3429,1.384,5.9224
Durian,2016,0,2,9,0.4,1.1842,0.3488,0,0.8538,0.68,0.25,1.2205,1.6145,6.4485,1.7077,1.5936,5.2641
Durian,2017,0,2,11.5,0.2,1.4211,0.3256,0,0.9128,0.4,0.3333,0.8926,1.4581,6.1725,1.2589,1.4012,4.4262
Durian,2018,0,1,10.75,0.4,1.5,0.3023,0,1.0578,0.6,0.32,0.9928,1.4331,7.027,2.0129,1.2133,4.7831
Lanzones,2014,1.2105,0.4286,1.75,0.9231,0.2876,0.4425,0.2286,1.041,0.6,0.8726,0.9373,1.3663,0.5442,0.5493,0.2774,0.659
Lanzones,2015,1.1111,0.4286,1.6667,0.7143,0.2983,0.293,0.2424,1.1035,0.6964,0.7453,2.9884,2.1997,0.4469,0.5808,0.5113,0.6211
Lanzones,2016,1.0488,0.4286,1.5667,0.3103,0.2803,0.2349,0.5556,1.0548,0.5446,0.7205,2.4366,1.6787,0.3628,0.4013,0.5372,0.5567
Lanzones,2017,0.8333,0.5,1.9032,0.2917,0.2604,0.1289,0.3611,0.9342,0.1053,0.6358,0.1523,0.787,0.112,0.2038,0.5311,0.3953
Lanzones,2018,0.75,0.4667,1.5625,0.2609,0.4078,0.1087,0.3611,0.9869,0.2544,0.5813,1.0105,1.1376,0.2541,0.4412,0.5034,0.4228
Mango,2014,4.6164,12.1735,5.1542,2.022,4.1927,3.1014,0.5568,4.4436,6.2707,0.7038,6.4504,5.1856,2.9333,3.4414,5.9855,0.8377
Mango,2015,4.1965,11.6571,4.816,2.0515,4.2257,3.3978,0.593,5.2196,7.2047,0.7077,6.8654,5.812,2.9693,3.3946,6.5556,0.8025
Mango,2016,3.9216,9.5802,5.8408,1.8465,3.6176,4.1811,0.6657,4.9542,5.5551,0.7029,6.7974,5.8203,2.881,2.7359,6.5223,0.8291
Mango,2017,3.6477,9.0307,4.7439,1.4583,2.9888,4.3304,0.6623,4.7554,5.6958,0.6783,5.6329,5.6828,2.8079,2.7876,6.9314,0.8512
Mango,2018,3.4713,7.8041,4.638,1.3184,2.957,4.4246,0.8273,4.7707,6.141,0.6865,5.1033,5.8135,2.8729,3.0645,7.0656,1.0052
