Year,CAR,Region I,Region II,Region III,Region IV-A,MIMAROPA,Region V,Region VI,Region VII,Region VIII ,Region IX,Region X,Region XI,Region XII,Region XIII ,ARMM
2002,6,7,7,7,7,7,6,7,7,7,6,6,6,7,7,0
2003,7,6,6,7,8,7,6,7,7,6,6,7,7,7,7,0
2004,7,7,7,7,8,8,6,7,7,6,6,7,7,8,7,0
2005,8,7,7,8,8,9,6,8,8,6,7,8,7,8,7,0
2006,8,7,7,8,8,9,6,8,8,6,7,8,8,9,8,0
2007,8,7,9,8,9,9,6,8,8,6,7,8,8,9,7,0
2008,10,8,10,10,10,11,8,10,9,7,8,9,10,11,9,0
2009,11,12,11,11,12,10,10,11,12,11,11,12,10,10,11,11
2010,14,12,13,11,11,11,9,10,11,8,9,9,11,10,10,12
2011,15,12,13,12,12,11,9,9,10,8,9,10,12,11,12,13
2012,15,12,12,11,12,12,9,10,11,9,10,10,12,12,12,14
2013,10,14,11,12,11,12,11,12,16,13,11,12,12,11,12,12
2014,13,14,13,11,14,13,10,12,14,10,12,11,13,11,12,11
2015,13,13,12,11,13,12,9,11,14,10,11,11,13,12,13,11
2016,13,13,13,11,13,13,10,11,15,11,13,11,14,12,13,11
2017,12,13,13,11,14,13,10,11,14,11,12,11,14,12,13,11
2018,14,16,15,12,14,13,10,13,16,12,13,12,14,12,14,11
