id,Crop,Year,CAR,Region I,Region II,Region III,Region IV-A,MIMAROPA,Region V,Region VI,Region VII,Region VIII,Region IX,Region X,Region XI,Region XII,Region XIII,ARMM
1,Palay,2014,452609,1796229,2514934,3765150,405582,1081878,1258147,2052574,338822,982596,656777,713764,452267,1364849,574499,557149
2,Palay,2015,400911,1777121,2489647,3304310,392907,1081833,1264448,2056824,336194,955709,661775,725120,441868,1291644,481312,488215
3,Palay,2016,382848,1805126,2332654,3342883,407124,1080408,1275492,1896230,231982,954844,581111,711284,417948,1200642,462182,544486
4,Palay,2017,445006,1872052,2656979,3634807,410833,1159830,1335077,2230837,325209,945565,700590,745733,433665,1319505,482675,577984
5,Palay,2018,391105,1720044,2379771,3615115,420233,1230988,1350438,2232293,309459,946877,728673,761400,488105,1343125,510071,638397
6,Irrigated Palay,2014,389732,1305464,2310297,3423053,332796,779339,881474,1085142,215066,550832,424100,643114,406793,1115486,355957,187071
7,Irrigated Palay,2015,345847,1290575,2303173,3059780,322856,791572,923012,1113382,217166,549640,424822,655526,409053,1069446,308837,153237
8,Irrigated Palay,2016,334494,1305193,2181739,3114840,326911,791547,918904,993869,166024,542684,381776,647705,385528,1003147,311108,134403
9,Irrigated Palay,2017,389558,1360204,2429032,3342794,324459,845481,955709,1114054,216966,532995,453535,672083,393250,1101570,306385,119244
10,Irrigated Palay,2018,349285,1255234,2159707,3346165,336836,895044,971552,1102620,209718,532732,445997,685437,443089,1122010,334428,158140
11,Rainfed Palay,2014,62877,490765,204637,342097,72786,302539,376673,967432,123756,431764,232677,70650,45474,249363,218542,370078
12,Rainfed Palay,2015,55064,486546,186474,244530,70051,290261,341436,943442,119028,406069,236953,69594,32815,222198,172475,334978
13,Rainfed Palay,2016,48354,499933,150915,228043,80213,288861,356588,902361,65958,412160,199335,63579,32420,197495,151074,410083
14,Rainfed Palay,2017,55448,511848,227947,292013,86374,314349,379368,1116783,108243,412570,247055,73651,40415,217935,176290,458740
15,Rainfed Palay,2018,41820,464810,220064,268950,83398,335944,378887,1129672,99741,414145,282677,75963,45016,221115,175643,480256
16,Corn,2014,244576,476741,1856715,240870,74329,107723,285647,368404,164197,88162,223342,1196542,280293,1338065,125406,699591
17,Corn,2015,237823,490943,1801194,271319,64823,125492,243908,350391,150051,91145,220180,1216302,224100,1239275,118774,673036
18,Corn,2016,199355,508024,1678813,259546,96821,114604,259375,283671,156729,81603,258951,1223116,219089,1144010,144529,590580
19,Corn,2017,242850,556462,1837480,258746,92762,121098,287005,301286,146470,73481,234455,1287303,256735,1257177,119980,841618
20,Corn,2018,207439,560885,1625325,271945,91418,130146,279732,310839,127602,74197,258910,1289538,274675,1231074,135627,902567
21,White Corn,2014,20680,51094,46489,29450,30936,16345,57440,100638,162158,74783,193017,400628,212718,265174,57087,543597
22,White Corn,2015,19871,48202,43846,32014,25402,16407,55472,95509,148672,77741,185359,407259,173226,233889,56079,515725
23,White Corn,2016,17993,45921,38071,31216,30867,17287,57685,80871,154614,68966,217648,463292,170609,217856,66270,343342
24,White Corn,2017,17888,47717,34129,37188,29998,17597,64960,88771,143565,64535,192226,471610,197547,231011,47001,418458
25,White Corn,2018,16673,47960,34913,41041,26662,15449,65026,87729,124555,66539,211330,459389,202451,228671,53055,463864
26,Yellow Corn,2014,223896,425647,1810226,211420,43393,91378,228207,267766,2039,13379,30325,795914,67575,1072891,68320,155994
27,Yellow Corn,2015,217952,442741,1757348,239305,39421,109085,188436,254882,1379,13404,34821,809043,50874,1005386,62695,157311
28,Yellow Corn,2016,181362,462103,1640741,228330,65954,97317,201690,202801,2115,12637,41303,759824,48480,926154,78259,247238
29,Yellow Corn,2017,224962,508745,1803351,221558,62764,103501,222045,212515,2905,8946,42229,815693,59188,1026166,72979,423160
30,Yellow Corn,2018,190766,512925,1590413,230903,64756,114697,214706,223110,3047,7658,47580,830149,72224,1002403,82572,438703
31,Banana,2014,8914,21845,274218,29068,68600,96980,38657,159632,123472,145577,147029,302445,522808,369172,99909,159168
32,Banana,2015,9215,21523,283909,28292,62624,105942,39658,170589,126361,153545,153172,304692,533812,370851,97956,164989
33,Banana,2016,8844,20629,258653,22700,74012,61631,40103,170407,125437,154061,138394,302528,531435,295897,105149,164319
34,Banana,2017,7558,21189,229636,22286,76010,58366,38488,174236,133602,158739,138833,304009,538688,331389,110632,176348
35,Banana,2018,7571,21275,257273,23076,76044,65134,41457,180421,135497,160408,135422,307527,545745,336173,117641,182438
36,Calamansi,2014,445,3409,6628,10717,12426,83750,1845,5037,1131,1283,10235,2041,8286,7579,4421,1509
37,Calamansi,2015,445,3432,7002,10765,13054,84212,1826,4659,1175,1503,9995,2127,8391,7370,4978,1741
